,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
347,19,8,11,16,1,0,0,1,2,4,7,2016
348,19,9,12,10,1,0,0,0,2,4,8,2016
349,17,8,10,6,1,0,0,0,2,4,9,2016
350,9,9,7,11,0,1,0,0,2,4,10,2016
351,40,11,11,11,1,0,0,0,2,4,11,2016
352,27,10,9,8,1,1,0,0,2,4,12,2016
353,36,12,12,8,1,0,0,1,2,4,13,2016
354,23,11,12,6,1,0,0,0,2,4,14,2016
355,82,13,11,18,1,0,0,0,2,4,15,2016
356,18,12,11,16,1,0,0,0,2,4,16,2016
357,12,7,12,10,1,0,0,0,2,4,17,2016
358,36,8,18,6,0,0,0,0,2,4,18,2016
359,31,9,14,6,0,0,0,0,2,4,19,2016
360,26,11,18,19,0,0,0,0,2,4,20,2016
361,16,14,22,11,0,0,0,0,2,4,21,2016
362,24,13,13,5,1,0,0,0,2,4,22,2016
363,8,8,11,13,1,0,0,0,2,4,23,2016
364,3,6,10,10,1,0,0,0,2,4,24,2016
365,69,7,12,13,1,0,0,0,2,4,25,2016
366,58,6,11,13,1,0,0,0,2,4,26,2016
367,46,6,13,11,0,0,0,0,2,4,27,2016
368,25,6,12,6,0,0,0,0,2,4,28,2016
369,30,10,10,13,1,0,0,0,2,4,29,2016
370,10,8,11,10,1,0,0,0,2,4,30,2016
371,1,8,20,13,0,0,0,0,2,5,1,2016
372,23,10,14,5,0,0,0,0,2,5,2,2016
373,25,12,12,13,1,0,0,0,2,5,3,2016
374,33,11,22,6,0,0,0,0,2,5,4,2016
375,10,12,22,13,0,0,0,0,2,5,5,2016
376,32,16,20,10,0,0,0,0,2,5,6,2016
377,9,17,19,11,0,0,0,0,2,5,7,2016
378,17,18,22,13,0,0,0,0,2,5,8,2016
379,41,18,10,18,1,0,0,0,2,5,9,2016
380,26,17,10,11,1,0,0,0,2,5,10,2016
381,36,15,7,5,1,1,0,1,2,5,11,2016
382,36,16,9,5,1,0,0,0,2,5,12,2016
383,50,19,5,8,1,0,0,1,2,5,13,2016
384,4,11,12,18,1,0,0,0,2,5,14,2016
385,7,9,15,6,0,0,0,0,2,5,15,2016
386,14,11,15,5,1,0,0,0,2,5,16,2016
387,32,12,11,5,0,0,0,0,2,5,17,2016
388,29,13,12,11,1,0,0,0,2,5,18,2016
389,14,13,11,13,1,0,0,0,2,5,19,2016
390,57,16,11,8,1,0,0,0,2,5,20,2016
391,18,19,13,13,1,0,0,0,2,5,21,2016
392,3,14,11,10,1,0,0,1,2,5,22,2016
393,24,13,9,11,1,0,0,0,2,5,23,2016
394,66,10,11,6,0,1,0,0,2,5,24,2016
395,60,13,13,10,0,0,0,0,2,5,25,2016
396,60,15,14,8,0,0,0,0,2,5,26,2016
397,38,18,10,5,1,0,0,1,2,5,27,2016
398,9,18,11,6,1,0,0,1,2,5,28,2016
399,4,16,5,10,1,0,0,0,2,5,29,2016
400,54,13,7,16,1,0,0,0,2,5,30,2016
401,73,13,7,13,1,0,0,0,2,5,31,2016
402,62,16,7,10,1,0,0,0,2,6,1,2016
403,375,12,10,14,1,0,0,0,2,6,2,2016
404,222,12,11,11,0,0,0,0,2,6,3,2016
405,20,14,10,11,0,0,0,0,2,6,4,2016
406,20,17,6,6,1,0,0,0,2,6,5,2016
407,127,18,5,3,0,1,0,0,2,6,6,2016
408,75,21,9,6,0,1,0,0,2,6,7,2016
409,74,18,9,10,0,0,0,0,2,6,8,2016
410,43,18,9,8,0,0,0,0,2,6,9,2016
411,94,18,14,6,0,0,0,0,2,6,10,2016
412,10,19,13,5,1,0,0,0,2,6,11,2016
413,13,17,9,8,1,0,0,0,2,6,12,2016
414,68,16,13,11,1,0,0,0,2,6,13,2016
415,63,17,13,13,1,0,0,0,2,6,14,2016
416,40,16,11,11,1,0,0,0,2,6,15,2016
417,49,17,12,5,1,0,0,1,2,6,16,2016
418,76,17,12,11,1,0,0,1,2,6,17,2016
419,5,17,12,8,1,0,0,0,2,6,18,2016
420,1,18,13,5,1,0,0,0,2,6,19,2016
421,31,17,13,13,1,0,0,0,2,6,20,2016
422,34,19,12,10,1,0,0,0,2,6,21,2016
423,52,23,12,6,1,0,0,0,2,6,22,2016
424,52,26,17,8,0,0,0,1,2,6,23,2016
425,25,21,11,8,0,0,0,0,2,6,24,2016
426,7,17,13,10,0,0,0,0,2,6,26,2016
427,19,18,11,8,1,0,0,0,2,6,27,2016
428,19,18,14,8,0,0,0,0,2,6,28,2016
429,13,18,13,16,1,0,0,0,2,6,29,2016
430,21,19,11,16,1,0,0,0,2,6,30,2016
431,29,19,10,19,1,0,0,0,3,7,1,2016
432,2,17,11,14,1,0,0,0,3,7,2,2016
433,5,16,9,10,1,0,0,0,3,7,3,2016
434,17,18,10,6,1,1,0,0,3,7,4,2016
435,60,19,13,8,0,0,0,0,3,7,5,2016
436,21,17,14,6,0,0,0,0,3,7,6,2016
437,25,20,23,6,0,0,0,0,3,7,7,2016
438,30,21,18,10,0,0,0,0,3,7,8,2016
439,8,22,12,6,0,0,0,0,3,7,9,2016
440,1,23,20,10,0,0,0,0,3,7,10,2016
441,12,20,10,18,0,0,0,0,3,7,11,2016
442,21,18,9,11,1,0,0,0,3,7,12,2016
443,21,15,14,10,1,0,0,0,3,7,13,2016
444,7,16,14,10,1,0,0,0,3,7,14,2016
